,text,
50,@Davina_c Honestly... I still have you on timeout from your Lion King comments. So returns [Prince Gif] back to sender,
51,Soap Slander. Lol.,
52,"Unilever study in consumer attitudes to sustainability, https://t.co/6pQi3nIVwM, more #sustainability @Eurofruit Fe… https://t.co/l1PDiBhm5f",
53,@MrBrainz huge mix brother,
54,They need to be healthy homes too &amp; designed to get young families off to the best start https://t.co/1UU02Q46aq,
55,Brother of MMM https://t.co/7Rz01UC9yB,
56,Some stooooopid journos...Conte said he doesn't want to talk about transfers......same stooooopid questions about transfers come up 🙄🙄🙄,
57,"How can our models be falsified if you don't accept they rule things out as impossible?
I await your answer.

@cjbanning",
58,@JessSkinEd 😂😂 I hear ya sounds like the rest of us are missing out 😩😅,
59,"Sir Ivan Rogers, Britain's ambassador to the EU has resigned via #wato @BBCR4 #brexit No 10 caught unaware by sudden #amboexit.",
60,"Europhile who asked for little and got even less, resigns... Zzz! #Rogexit https://t.co/94N0EFvnL3",
61,@onlybells_ i legit had a panic attack,
62,Toby thought this was the perfect spot! #cockerspaniel https://t.co/ejOZdazc9C,
63,Ugh ok can't put off the new year run any longer let's start this body fix in a @nastypig jock 😈 https://t.co/KQ9BSzP8xt,
64,"@RoseEllenDix @RoxeteraRibbons 
You've done vids about getting relationships but if like me I've never ended one (9yr) how do I do it?",
65,@vanessaekeys hey! I'd love to get together. Will DM you.,
66,Are you related Hasmera Naviede? If so what is your relationship? https://t.co/no3sHKFv1v,
67,"@rcolvile @worstall By this logic, if I don't drive or cycle, can I stop paying taxes for road maintenance?",
68,"@priceactionkim 
Good break but how good it feels to be back.
Some strong moves in the London session. 
Good luck e… https://t.co/48ZG6RTarO",
69,When you're out of practice with your work face cos Xmas/NY https://t.co/Rn311FffVr,
70,You still have a couple of hours to enter our #giveaway &amp; win a @Razer Wildcat Controller! GL &amp; HF! https://t.co/UevHl0FM3Q,
71,"Happy 7th birthday my darling Dhiren. Mummy, daddy and Diya love you so much.  #cake #bubbles… https://t.co/hsKqyJs3WR",
72,Thank you 👊🏾❤ https://t.co/SJddz03mVS,
73,Just posted a photo @ Somerset House https://t.co/oGGQxXrkgi,
74,"Like
Retweet 
Un-Retweet 
Quote Retweet 
Retweet",
75,"I'm at Holborn London Underground Station in London, Greater London https://t.co/yhQjYXmq3w",
76,UK plates for sales 02081507560 https://t.co/fqRC9if6sA,
77,@Handsprings1 it's do romantic,
78,"@MullerNick you become dehydrated

the ant looks at you with pity",
79,@LetchikSnayper Iran or other operates will need 2x the vehicles that a country operating S-400 will need to provide the same levels of def,
80,"@SouthernRailUK Ok, well hope it's re-instated soon",
81,@timloughton that idiot @Patrick4Dales awarded GTR contract knowing they had insufficient staff and rolling stock to provide decent service,
82,"I'm supposed to start revising today but u see, I've bought a book on sexism/feminism and declared it to be my new bible so gdbye degree x",
83,"UK ambassador to EU quits amid Brexit row - quelle surprise? Only 10yrs! 

https://t.co/fEk1fNXLqW",
84,@pretty_mind2 aw thanks bff xx You too. How are you,
85,Checkout out the trending channels at https://t.co/HX6BbeE4L2   https://t.co/tfCiJXklnF https://t.co/Jn09r726rH,
86,actually hate my life why am I watching this when I have a 1500 word essay to write https://t.co/m9xEfX1MYF,
87,I've been back at work approximately 6 hours and I already feel like I need a holiday. Somebody save me please!?,
88,@SharonBarbour @boutiqueheather Good news,
89,@sonofhal fantasies is obviously the best one,
90,Your mate https://t.co/b4s0C7kYeQ,
91,@karen_pleasance @Spike______I can't lie k they started it ....,
92,beautiful winter evening walk last night 🌙 @ Stewkley https://t.co/I4OixcSBGG,
93,YEARLY REVIEW: Read the best headlines we brought you in 2016 https://t.co/fCrE6d0lVq,
94,@VodafoneUK had me on hold for 15mins then hangs up!!! Where is the love? #VodafoneUK #WhereIsMyPhone #backwardsandtwisted,
95,@Love_Music4 that's what I'm saying. People never acknowledge Mariah for it. Lol,
96,"#2016inreview with @hiwoogie &amp; @bcoman in the leading roles. A written mix of pics, videos &amp; detailed alien memories https://t.co/HqGnJCygfs",
97,My life @Kaydia_Rey https://t.co/s2DmIzOx2W,
98,"""Take him out,"" says female outside. ""Can't do it,"" said a male. Before this Lt Harry Bird @USMC said ""He's had  a breakdown. That's true.""",
99,Can't take bmt booky people bmt either say it with your chest or forever hold your peace,
100,See our latest #London #job and click to apply: Senior Sales Executive - Digital - https://t.co/56uMx20E69 #Sales… https://t.co/RMLs3WeTCd,
101,Joblessness https://t.co/U6LcCxEupM,
102,@CommonByNature @IWhit @gamekeeperpaul You can't beat a good wild bird cover. I'm watching these Reedies now 😀.,
103,@jonmoss it's how I roll mate. HNY!!,
104,My cuteass glazed donut is back at it again😏💋💕 https://t.co/8vfZRoOkBO,
105,UK 🇬🇧 plates for sale 02081507560 https://t.co/0KTOSHzTHd,
106,"UK ambassador to EU quits amid Brexit row

https://t.co/PsEssI5mgM",
107,"Just posted a photo @ London, United Kingdom https://t.co/2nuj0L0Ylk",
108,"Launching very soon The Meechat IOS app. Interactive live broadcasting to unlimited audience, private or public, up… https://t.co/LxqTBbBjql",
109,@CostaCoffee gave us a large latte and @Carmenlovebands HAS FALLEN IN IT?? She didn't even bring swimming trunks? https://t.co/fmYWodTFe5,
110,You still have a couple of hours to enter our #giveaway &amp; win a @Razer Wildcat Controller! GL &amp; HF!… https://t.co/JxQy1F0PoB,
111,Not quite sure how the Man City owners would take Pep's retirement talk.The impression was that he would be there for ages.He is set to bail,
112,@TradPost9000 I bet his name is Dave or something,
113,@AbbyMartinM not allowed to smack kids but ok for muslims to rape them,
114,@chloe_egan so motivational,
115,Check our new #blog post about the #definition of #money at https://t.co/vcO8flpPDV https://t.co/tpKRpoTKz6,
116,"Technology recruitment manager, Jack Grimes discusses the employment opportunities in Rotterdam in @GlblRecruiter https://t.co/duL8HCjHDm",
117,Le go https://t.co/mONwevIVgQ,
118,Review: Giggling Squid opens in Wokingham ahead of #Farnham launch https://t.co/Dy2RFUfqPE #Surrey https://t.co/xRfSa4wzko,
119,"@michellelapin11 @UgleehBetty The ""Wham!"" group chat in a nutshell. https://t.co/SJ5qIpWWfR",
120,@_cornbreads that Kim Burrell tweet.,
121,@KaseyJones_X woah woah text me,
122,"""Tough times don't last, tough people do."" Evidence: Yesterday(2016) is gone, but you're still here. #Overcomer #LiveLifeFull",
123,"@Aisha_is_Smish @Yemicita_ YOU KNOW!! 

Big up yourself!",
124,@SRC_XXVII I asked him for his number because he lost his lisp.,
125,If the seriously irritating banging that I can hear from the FWB @KingsLibraries could cease I would be eternally grateful,
126,"Great morning session and first day back to @RoehamptonUni... Now, let's go shopping *Tsa Tsa Gabor voice*",
127,"@AskLloydsBank nope, still in the queue. .. .",
128,"On Monday 2, #ARMYSelcaDay was Trending Topic in Worldwide for 8 hours: https://t.co/jXLjSPfnqs #trndnl",
129,"Unilever study in consumer attitudes to sustainability, https://t.co/6pQi3nIVwM , more #sustainability @Eurofruit F… https://t.co/WPRwAJDRHN",
130,A rift in *potential energy difference* creates Gods.,
131,RIP Ronnie and Roxy #eastenders,
132,Really want to go skiing☹️ https://t.co/AUJ0vlrxfp,
133,"@BListAtCapital I wasn't watching when Sue was there, but she didn't want to come back so... Plus it's been 20 years *shrugs* People change",
134,@Denock__ some stupid idiots that think they're jagaban of twitter,
135,"if you're gonna let me down, 
let me down gently.
don't pretend that you don't want me,
our love ain't water under… https://t.co/sjyHg8rwdJ",
136,Presser over....might as well finish this Nadal game....he is plating very well...needs to stay injury free #BrisbaneTennis 🎾🎾🎾,
137,@George58888 yes thank you. Did you? X,
138,"Best Purchase of past few days: Premium Gatwick @Gatwick_Airport can't recommend enough, what ques? #TravelTuesday #travelhacks #Travel",
139,@Jacob4MK rigged,
140,@pretty_mind2 aw it was. Got some Star Wars playing cards,
141,@standardnews God!!!!!!........welcome to 2017 !!!!!,
142,"@FemAdesina 

https://t.co/Vl0Qy5Ab54

All hogwash! desist!",
143,Dana White said When Ronda was finishing people nobody was complaining about her Coach.  #mmanews https://t.co/Nag3wZCULA,
144,"I'm at City of Westminster - @citywestminster in London, Greater London https://t.co/qJB5VHRUzx",
145,@_cornbreads it's funny tho. But Axe body wash can go.,
146,Plenty beards but no sense.,
147,"@solid_slug1984 @intuMetrocentre lmao I'm heading there after work, that place is always so big it's like a quest *__*",
148,crying https://t.co/rf0Dqbwgni,
149,@CarlyBooth92 @PUMAGolf congrats Carly all the best for the new season 🏌🏼‍♀️,
150,"Hi guys. My friend is moving to London this month, does anyone know of any jobs going?",
151,I don't like delays Royal Brunei https://t.co/LzMwWPIoD7,
152,You still have a couple of hours to enter our #giveaway &amp; win a @Razer Wildcat Controller! GL &amp; HF!… https://t.co/gdUlz8Plph,
153,@MartinCollinson @UKLabour unelected he can implement nothing - his shad cabinet is not the best team he can have - why not elect it?,
154,"Nope. If it is observed, it is possible, the model that said otherwise is wrong. Watch the video.

@cjbanning 

https://t.co/36gQQksRzP",
155,The hashtag #Hull2017 took the 18th place in the Top20 of London's Trends for Monday 2: https://t.co/KYdOc1TJxh #trndnl,
156,South Koreans' resolute march for president's New Year’s resignation https://t.co/talRbGTwd9 via @SocialistWorker https://t.co/Zqg8IvlGO1,
157,What has the @SWTourAlliance been lobbying Govt 4 in 2016? The Conference on 27 Jan at Tiverton reveals all. Book a… https://t.co/m6VaQMy3WF,
158,So much to smile about yesterdays game but what was your favourite moment?! #ColU,
159,@JodieHodges31 @Leilah_Makes @philearle @BarringtonStoke Love the cover! 💖,
160,Lord henry❤ https://t.co/bgFlPWVQfI,
161,@MSmithsonPB @election_data Which just happens to be where a disproportionate amount of economy and growth resides - in big cities.,
162,"Happy New Year.
To confirm students @ReephamHigh @ReephamCollege return tomorrow Wednesday 4th Jan.  It's Week 1. Here's to a great 2017.😀",
163,@jonworth good for him.,
164,Assume @BBCRadio4 will continue its Steve Hilton trend &amp; have more 10 min interviews w unelected citizens who happen to hold political views,
165,@MufftheSqueaky @bubblemaniccat @NicoTheKitty @LiesbethvBerkel ha exactly the same order as mine!,
166,@melreylaw @OlympusUK @juliarebaudo Sounds like you need to come to one of our @OlympusUK workshops! Talk to @clairevoyle 👍🏻,
167,"@FloraBaker Hi Flora 
That issue should be sorted now - apologies for any confusion. Hope to see you on 6th Feb!",
168,"@jamesrquinn Yep. Also a bit odd that John Allan chose to praise his ""strong contributions to the deliberations of the Tesco board""",
169,@the_awakend @thefabians Revenge for Corbyn sabotaging the same event last year? https://t.co/WoLfmBEsHV,
170,"Worked with Ivan Rogers in the past, great guy, commited to service, thick skin. Must have been very bad indeed for him to walk out.",
171,Peps losing the plot already 😂😂😂,
172,"@MOAgallery and to you, HNY",
173,CAREFUL NOW BOYS... saffrons about to kick your butts 💪🏼❤ https://t.co/RcY5QChZWF,
174,The fact I'm 21 next year makes me feel so old😩,
175,"Nintendo says Super Mario Run has DRM to stop piracy. Like online passes, punishing paying customers is not the way to deter pirates",
176,• introduced @SharmayneS to Korean food today - success! coming back for their all you can eat… https://t.co/JCH8wgDEl9,
177,❤️❤️ thank you stu! https://t.co/ZFZZck0tMh,
178,My 7th (knowingly)Caspian Gull at Dungeness https://t.co/8RxkQNQr7J of the few birds once seen in new year forget about for the rest of yr,
179,@chuckdeer1 thank you 😊,
180,A fantastic vegan cake which was made for @MrNickKnowles birthday #veganuary find more vegan bakers at… https://t.co/QpWsaxItSe,
181,#2017 #HAPPYNEWYEAR to you all #sheene and #roberts https://t.co/DA9I7uu6FA,
182,@elfuller_ that's so kind of you &lt;3 I was going to delete all my old videos but i'll keep the greenacre videos up x,
183,"""Does anyone know when (insert school name here) goes back?""

Yes, your child's school website.",
184,@jess_froud thank you hunny xxxxxx,
185,Facebook Live gives celebs special rights to edit their video content https://t.co/SsTPaXPTua https://t.co/KZnNYCpmMU,
186,@olivieramar Happy new year to you too! 🌹🎁,
187,@JayKay_Arinze reason you went 12 years without UCL + 7 without league. Success indeed,
188,"Why is my mum forcing me to eat avocado, pls back off liv",
189,Found a load of my old baby stuff - look how damn cute I was https://t.co/rL5Eohus9e,
190,@gavphotography no problem my friend! Happy New Year!!,
191,"@Doctor_Hacker @6footgeek ""occasional""",
192,"Fly Me To The Moon by Astrud Gilberto is #nowplaying in Harrods, London.",
193,@timloughton GTR breached their contract last May so previous rail minister re-wrote it to avoid sacking them. This is in the public domain.,
194,A NATION RETURNS TO WORK #firstdayback https://t.co/l4Vj63C7BZ,
195,"After listening to the latest ep of @iexplorer on my commute this morning, explain why this was my choice of lunch. https://t.co/CTGDHmTsTo",
196,@RoloTheRanger probs quite a high earner aswell.,
197,@lizzylad93 love you too,
198,I feel so really rough today that it's going to have to be a very easy streaksaver #runstreak.,
199,SNAPCHAT -  joseph200o,
200,Excited for our pram &amp; car seat delivery tomorrow! @iCandyWorld @MaxiCosiUK 🤰🏼👶🏼💙#pregnantlife #31weeks,
201,"The biggest Tourism Business Improvement District is the @EnglishRiviera A case study by Carolyn Custerson 27 Jan,… https://t.co/sSB59MNJRS",
202,@Nareik4G That was for another stabbing yesterday. This one was on NYE. Sad,
203,"@Pocket Hi, I just updated the app and my iPhone share button has disappeared and no longer can be added on. Please help!",
204,Jam doughnut. But why did the jam always come out the other side? https://t.co/1rfgfJ6nhb,
205,"WOW! 

So now we're back at work, we can't have a mid afternoon nap. 
WOW! https://t.co/ooz1HXNoh7",
206,😔uck queen inspired me to start a brothel company I know hella ppl on it just need a yard 😒,
207,@geekassnerd different bacterias! So my body is not used to the ones here and it's awful ahhhhh,
208,@segundaniel360 I'll give you later,
209,@The_Whip_Hand Did you like it ????? https://t.co/fp1PC8dxMn,
210,@Hippiemasken aw thanks xx You too. I did thanks. You?,
211,@kingchids started of with red last year and now doing brown. Black expression is a myth really,
212,What do you think of jelly? https://t.co/uShOmvNkil,
213,@vivaden3 should start with massive fraud Sadiq Khan,
214,@JolyonMaugham who on earth is going to want to take that job?,
215,Lovely !! Here you go my Wages for ya Girls. Iv only worked all hours. Here you go !! got it now you can go Home wi… https://t.co/Be82z44v8m,
216,@wirralphil1 anyhow Happy New Year to you Phil - my crashing spreadsheet morning has ended so I will switch off twitter :),
217,"@MSmithsonPB @election_data Don't fall for spin from govt, others trying to disguise high UK *operating* costs &amp; public/private inefficiency",
218,Stairway to Heaven: Out of Service #brokedown #escalator #standontheright @ Chancery Lane https://t.co/Xw7nbSVvyb,
219,"@LetchikSnayper Iran's main areal threat is AWACS and other such ""spy"" aircraft. Which one missile should be good enough to down it",
220,"@AceyBongos @majornelson First name basis, eh? Well played Graeme.",
221,@emilyvc_ ‘appy new year bobcat,
222,@AskLloydsBank AND the stand alone cheque deposit machine has now crashed. Just at the desk &amp; they say they have run out of envelopes...,
223,@DavidAFC68 I really hope its not we have to get 3 points tonight,
224,Money 2K17,
225,Bobrisky is your bae now 😂 https://t.co/dH4K6HCXhh,
226,@sunnynorwich are you coming to the fierce panda party on 11th Feb at the Jon. Peel Centre in Stowmarket?!,
227,"Keynote at ""Challenges to Rural &amp; Coastal Tourism"" Conference by @neil_parish MP on 27 Jan, book at… https://t.co/kdGWvJpRwP",
228,@nakedvix I suppose there is an element of snobbery here in deciding that politics or law is somehow more worthy than being a beautician,
229,Boom back in the room 😘 (at @AimiaInc in London) https://t.co/cYrmobsumP,
230,@T5DPF @karen_pleasance @Spike______ no your arse is like your team.....overblown and with a split in it...😉,
231,Banda's house price predictions for 2017? Our head of search @louisabrodie shares all with… https://t.co/57I4zPL359,
232,"Thousands of new jobs to be created in the region
https://t.co/E8VNOsL5aU",
233,"Brexit.. we keep on about access to the single market, what about access to the uk market? Billions of imports to U.K.,tit for tat done job",
234,@myracingtips worked out nicely https://t.co/BRU5ASJw2f,
235,@MartinCollinson @UKLabour look at the recent by elections - more members than votes!!,
236,what's mine could never be confused as theirs.,
237,Fight to open the borders as refugee dies in France https://t.co/WecBjWBlMJ via @SocialistWorker https://t.co/yYH2SIjwxn,
238,@lizzie_roles thanks for sharing lovely X @MReevesCoaching,
239,"@HoZ_Books @JSThrillers would love a copy, can't DM ya.",
240,"@TSHSmith @RainbowJammed you seen that thing that feeds cats when they give it a ball, can you make one that requires an art deposit instead",
241,@JonnElledge Collective responsibility for cabinet. If you want to sulk R E S I G N,
242,This is hilarious. https://t.co/93IEPtrCsB,
243,Former Eastleigh skipper relishing boss's role https://t.co/frc68b8zXp #eastleighfc https://t.co/hTRbLfpQrH,
244,Highpoint: if only all blocks were made this way #architect #architecture #design #style… https://t.co/dOAY1EHzeJ,
245,'Strength and growth come only through continuous effort and struggle.' https://t.co/qeBupRX3zc☝🏼️ -… https://t.co/0M9cwdyYyo,
246,@FootyAccums @MasteryMustafi not in January he won't,
247,Just been to the absolutely inspirational exhibition of #zahahadid 's early drawings- well worth… https://t.co/u4pOP7ygFE,
248,"Keynote at ""Challenges to Rural &amp; Coastal Tourism"" Conference by Sally Salcombe CEO @VisitEnglandBiz 27 Jan, book a… https://t.co/zvcTQClf2j",
249,@lennythepen @hill_hotmail @MilitantCab what a shame 😂😂😂,
250,"@nakedvix But I can’t help but feel that it is, so 🙄",
251,My hair is so wild today. #thickhair #problems https://t.co/4zbDZbQ9By,
252,I hope when these exams are over I never have to see vertical or horizontal velocities again! EVER!!,
253,"This February London's BIGGEST R&amp;B Party is BACK!!  

🍑#PeachesAndCreamLDN 🍦

 📅Friday 10th… https://t.co/9dEuZLW3mz",
254,@membranes1 @marcrileydj @johnrobb77 are #membranes on Marc Riley show tonight please? Love them,
255,"Bob Dylan: ""Times they are a changing"" - https://t.co/bjQTK1id5n",
256,Is the ebb and flow of lots of repetitive words during unstructured time an #ADHD thing? There's lots of #distraction #restlessness etc.🤔,
257,@NiallMachin1 @TarsigerTeam @mbr bound to be one somewhere in the South-west Midlands #newshetlands,
258,Nadal's new hair....looking good 👦👈🏼 #BrisbaneTennis 🎾🎾🎾,
259,@segundaniel360 calm down,
260,"@BListAtCapital She's alright to me, but I can't see the long term plan here, when her secret is only that she's likely homeless now.",
261,Tell him @MersonHolt https://t.co/tJdFgPR9HT,
262,i look at Peter &amp; co and think at your age???? #lhhny,
263,The biggest time wasters are people you know who beg u for help or £ and then act like cunts to u once you've given them that said help/£,
264,"@RoseEllenDix @RoxeteraRibbons 
Last week I was in Sainsburys and saw the following Ladybird book. WTF https://t.co/y29EHhxDmu",
265,Lawlllll https://t.co/b5WYm2PQFv,
266,@RevRichardColes isn't that Comet 67P ? https://t.co/Gty4hvM6zB,
267,Wouldn't want that.. https://t.co/PGiZAzHxV1,
268,"I planned my life (very terribly) when I was about 6, and even took the time to include my bestie @haikyoots 😂😭 https://t.co/ICRNJAqQ9U",
269,"@JDhelpteam Hi, please can you let me know what's going on with my order. I cannot trace it in the website. Thanks.",
270,"@Aisha_is_Smish @Yemicita_ you know! 

Do what you need to do. 
#collectyourhusband2017",
271,@Beybee_Girl send me money,
272,Want!! https://t.co/F02HV1DYE0,
273,@alistairholmes3 Thank you so much :),
274,"⚡️ “Knives recovered by Hackney Police” by @MPSHackney

https://t.co/ake2ZSK5JA",
275,So so buzzing for Barcelona weekend with rob in February gonna be amazing😍😍❤️,
276,#SRK has invited me to win a holiday for 2 &amp; #VisitDubai. Click on the button below &amp; participate too #BeMyGuest https://t.co/xlv5O5x8ho,
277,Two-year-old saves twin brother from falling furniture - https://t.co/pvIGfQGHp5 Bolt down furniture @BBCNews,
278,"“My darling Clemmie, in your letter from Madras you wrote some words very dear to me, about… https://t.co/RGbuUq0vtv",
279,"Darwinism isnt wrong. It it is falsified by an observation of that which it rules out as impossible, it is wrong. https://t.co/Aem3IuRTn7",
280,‼️🔙🎉👩‍👩‍👧‍👧💋‼️ @ New Year https://t.co/n5b2LWNwFK,
281,@dajayr95 of course I can't wait to hear from father again 😇,
282,@JennaFKnight So many of the great things in life do...,
283,"Successful morning done, caught up with several clients. Now on to some property reports #firstdayback #property #Newbury",
284,@BarkingMadJakki You don't want to come home to grumpy dogs...You really don't. LOL!!🐾🐾 https://t.co/btAaosbtSR,
285,@MsiDouglas I can't recommend it enough. It's improved my fitness immeasurably.,
286,We are Top of the League #bhafc @ Craven Cottage https://t.co/cU5cCBiFgv,
287,Feel like people are giving this a pass cause it's Nintendo but it's a bullshit pr,
288,@DollyParton wishing you &amp; yours a very #HAPPYNEWYEAR 😗😘,
289,"Back to work for the new year, it's nice being able to look forward to the first day back for a change... https://t.co/X6TWwdd7WD",
290,"@Davina_c I will, i will. Anyway I hope you had a good holiday",
291,"@Pooolitics she won't do that. No boundary changes till'19, and LD's doing better, so would be risky",
292,@SouthernWater how as twitter doesn't seem to allow me to direct message you,
293,@shellrobo23 aw thanks xx You too. How are you,
294,@Beybee_Girl check my pinned tweet and contribute,
295,@SeatSurfer OMG I NEED THIS IN MY LIFE,
296,@tomcl_rk RT if this is you😂🤣😈,
297,"@DDawn0 who would have guessed it,but they say nothing to do with terrorism",
298,But not in Europe... https://t.co/u0fkpUu9Wh,
299,@SaladandSquats SO proud of you!,
300,@Love_Music4 that's right. He is the originator.,
301,Dudley International Piano Competition 2017 https://t.co/TKTeh1aU5r #ClassicalMusic https://t.co/uKEHY5qGpQ,
302,First day back in the office and the heating is not working. Nothing better being jet lagged and going from 32 to -2 degrees 😫,
303,Depends massively on who with https://t.co/iPHBwX7ZGO,
304,@MartinCollinson Im not the 'right' of the party - Im just anti Corbyn,
305,Question? Why Do People Get Pissed Off At People Who Post Information/Facts/Historical Truths?… https://t.co/MgAF4bJz3w,
306,"Businesses welcome new direct service connecting @HeathrowAirport and Perth, Australia.

https://t.co/Pxv0h55srw https://t.co/L60aP1IGez",
307,@saffron__rose @morwoo ... and why are we Ms Rose? I'm sorry being betrothed to me is such a hideous idea 😭,
308,Why aren't you listening to @blind_guardian? Go. Now.  #Rock #musicmatters #MusicMonday #Music,
309,Dry Lips? The #BEST lipbalm you EVER tried. Guaranteed. #incomparable #healing #soothing #cleancosmetics #organic… https://t.co/D0h4Yrn6Df,
310,@Artudacamelot5 @lenieangelstar @starlite71111 I know Emoji Queen!!🐾🐾,
311,Exotic animals face uncertain future after a rescue centre is served with an eviction notice… https://t.co/YmpUq8NZur,
312,Guess where I was this new year. One of my new favourite cities ✈️🌍 https://t.co/wu6DrfgQE2,
313,I wanna be 10 again 😭😭😂@Kaydia_Rey @txnioo https://t.co/HdsuS8xDw0,
314,Hey @PropertyWeek. Looking at the finalists for the @UKBlogAwards (just announced) but surprised there's no property category. Time to act?,
315,@MoseleyParkPool Thank you! I am really pleased you can use it and it won't just end up in the skip :),
316,"🏜
・・・
From the lookbook shoot with @ravena_livi @maxglatzhofer and @voguekitten 
#lookbook… https://t.co/uVctsuxjc8",
317,1800 pound in three weeks where has it gone 😩,
318,@Dr_TonyXia how much are you bidding for @tjaronnchery ✌️,
319,🦎🖤☘Squished my sweater into my velvet dress.  This sweater is still available in the shop:… https://t.co/I87zEBDJLl,
320,"I'm such a sucker for frosty foliage #London #BackToWork #Baltic @ London, United Kingdom https://t.co/JgTQ6XHryn",
321,"@AlexDSAvery I don't think using another actor would spoiled it, I still loved the movie even with it there though",
322,"@PianistswKitten will do! I'm not reviewing it (at least not officially, as another reviewer got to it before me...)",
323,"🏜
・・・
More From the lookbook shoot with @ravena_livi @maxglatzhofer and @voguekitten 
#lookbook… https://t.co/YcO2KnnVgg",
